日期,收盘,开盘,高,低,交易量,涨跌幅
2020/2/3,3602.47,3575.37,3623.74,3571.38,2.15B,0.15%
2020/2/4,3639.62,3609.74,3654.94,3609.74,2.11B,1.03%
2020/2/5,3658.03,3648.46,3669.53,3618.68,2.11B,0.51%
2020/2/6,3742.1,3710.91,3763.26,3688.52,1.83B,2.30%
2020/2/7,3726.29,3720.93,3730.37,3700.31,1.25B,-0.42%
2020/2/10,3705.69,3689.7,3716.97,3681,1.51B,-0.55%
2020/2/11,3751.74,3737.06,3765.96,3727.46,1.73B,1.24%
2020/2/12,3784.17,3770.85,3795.52,3752.41,1.72B,0.86%
2020/2/13,3758.13,3799.42,3799.42,3754.11,1.54B,-0.69%
2020/2/14,3777.23,3751.8,3796.17,3751.8,1.43B,0.51%
2020/2/17,3799.55,3771.89,3810.88,3771.89,1.52B,0.59%
2020/2/18,3743.15,3776.17,3778.82,3738.19,1.49B,-1.48%
2020/2/19,3751.41,3724.83,3761.27,3715.05,1.50B,0.22%
2020/2/20,3755.47,3749.38,3761.5,3715.71,1.68B,0.11%
2020/2/21,3725.49,3737.74,3749.62,3716.57,1.53B,-0.80%
2020/2/24,3660.28,3697.64,3699.47,3659.1,1.79B,-1.75%
2020/2/25,3650.56,3639.7,3661.32,3630.45,1.69B,-0.27%
2020/2/26,3630.15,3591.99,3639.79,3591.99,1.79B,-0.56%
2020/2/27,3648.88,3604.32,3658.77,3596.08,1.84B,0.52%
2020/2/28,3569.94,3579.73,3586.82,3550.35,2.62B,-2.16%
2020/3/2,3588.68,3561.1,3601.12,3561.1,1.94B,0.52%
2020/3/3,3577.03,3598.15,3615.25,3570.98,1.93B,-0.32%
2020/3/4,3549.41,3573.56,3576.43,3529.72,1.81B,-0.77%
2020/3/5,3621.2,3569.91,3630.91,3559.57,2.25B,2.02%
2020/3/6,3542.46,3569.27,3572.8,3532.79,2.18B,-2.17%
2020/3/9,3398.27,3422.34,3441.17,3385.95,3.41B,-4.07%
2020/3/10,3446.05,3417.13,3474.98,3389.31,2.56B,1.41%
2020/3/11,3435.9,3458.68,3464.5,3421.51,2.02B,-0.29%
2020/3/12,3322.26,3361.88,3361.88,3301.85,3.09B,-3.31%
2020/3/13,3296.55,3084.43,3314.95,3084.43,4.61B,-0.77%
2020/3/16,3168.04,3206.42,3233.93,3137.28,3.37B,-3.90%
2020/3/17,3200.96,3156,3214.02,3119,3.09B,1.04%
2020/3/18,3098.63,3176.81,3249.42,3082.08,3.64B,-3.20%
2020/3/19,3009.36,3070.24,3094.49,2950.84,4.93B,-2.88%
2020/3/20,3157.16,3060.51,3157.16,3060.51,3.92B,4.91%
2020/3/23,3016.54,3010.63,3051.94,3002.54,3.05B,-4.45%
2020/3/24,3137.19,3115.12,3150.2,3090.44,2.84B,4.00%
2020/3/25,3246.43,3212.11,3255.12,3185.61,2.71B,3.48%
2020/3/26,3219.69,3242.41,3243.15,3190.18,1.98B,-0.82%
2020/3/27,3232.77,3269.42,3277.19,3214.69,1.70B,0.41%
2020/3/30,3198.83,3171.6,3243.67,3171.6,1.97B,-1.05%
