日期,收盘,开盘,高,低,交易量,涨跌幅
2020/2/3,7080.74,7109.52,7170.44,7058.55,525.49M,-1.30%
2020/2/4,7169.55,7022.16,7169.55,7022.16,516.99M,1.25%
2020/2/5,7235.86,7274.02,7296.43,7148.78,613.60M,0.92%
2020/2/6,7527.03,7398.86,7597.06,7370.79,700.42M,4.02%
2020/2/7,7371.27,7409.92,7447.23,7356.9,319.66M,-2.07%
2020/2/10,7345.84,7288.3,7388.14,7283.16,322.04M,-0.34%
2020/2/11,7406.98,7393.1,7475.12,7365.13,338.80M,0.83%
2020/2/12,7472.63,7452.79,7497,7394.13,293.86M,0.89%
2020/2/13,7411.89,7484.09,7512.09,7400.68,362.02M,-0.81%
2020/2/14,7417.57,7446.67,7457.3,7380.82,228.79M,0.08%
2020/2/17,7426.21,7400.42,7482.62,7400.42,296.04M,0.12%
2020/2/18,7317.08,7390.54,7416.06,7305.12,384.14M,-1.47%
2020/2/19,7335.61,7315.55,7372.81,7305.27,303.84M,0.25%
2020/2/20,7373.96,7431.64,7431.64,7330.17,331.56M,0.52%
2020/2/21,7323.79,7356.47,7373.5,7303.05,534.92M,-0.68%
2020/2/24,7093.88,7235.6,7235.73,7071.44,649.93M,-3.14%
2020/2/25,7004.2,7027.36,7046.61,6979.36,501.12M,-1.26%
2020/2/26,6928.17,6858.26,7000.73,6858.26,1.39B,-1.09%
2020/2/27,6897.58,6865.14,6924.78,6822.12,761.86M,-0.44%
2020/2/28,6653.9,6710.74,6727.77,6628.86,1.61B,-3.53%
2020/3/2,6869.12,6716,6907.35,6712.27,1.68B,3.23%
2020/3/3,6840.9,6870.85,6932.05,6812.46,702.10M,-0.41%
2020/3/4,6763.55,6819.02,6821.27,6724.05,792.15M,-1.13%
2020/3/5,6845.88,6759.59,6874.42,6757.95,975.97M,1.22%
2020/3/6,6657.88,6737.04,6752.32,6657.88,1.03B,-2.75%
2020/3/9,5935.35,5772.17,6010.81,5772.17,1.80B,-10.85%
2020/3/10,6060.81,6014.65,6116.9,5950.67,1.11B,2.11%
2020/3/11,5880.37,6035.29,6051.52,5877.75,1.06B,-2.98%
2020/3/12,5545.17,5708.27,5721.4,5538.2,1.25B,-5.70%
2020/3/13,5578.75,5233.97,5643.1,5157.25,1.59B,0.61%
2020/3/16,5408.85,5363.4,5585.55,5359.46,1.17B,-3.05%
2020/3/17,5376.37,5378.55,5494.62,5236.87,883.33M,-0.60%
2020/3/18,5027.24,5276.16,5291.11,5008.37,1.23B,-6.49%
2020/3/19,4785.02,4876.52,4963.56,4687.54,1.37B,-4.82%
2020/3/20,5200.74,4947.9,5206.96,4947.9,1.05B,8.69%
2020/3/23,4972.83,4855.63,5054.27,4855.63,792.67M,-4.38%
2020/3/24,5137.37,5183.07,5207.17,5084.3,950.26M,3.31%
2020/3/25,5481.3,5284.41,5503.81,5270.75,1.05B,6.69%
2020/3/26,5430.64,5426.46,5495,5372.33,651.95M,-0.92%
2020/3/27,5524.12,5504.69,5540.62,5441.57,722.86M,1.72%
2020/3/30,5506.28,5391.46,5574.47,5357.16,804.33M,-0.32%
2020/3/31,5797.51,5584.99,5797.51,5580.32,1.15B,5.29%
2020/4/1,5686.74,5680.7,5830.45,5645.23,742.97M,-1.91%
2020/4/2,6088.53,5586.63,6120.02,5586.63,1.24B,7.07%
2020/4/3,5935.6,6097.91,6104.93,5866,728.13M,-2.51%
2020/4/6,6091.93,6015.42,6125.25,5867.39,513.06M,2.63%
2020/4/7,6132.31,6100.56,6143.39,5981.81,708.09M,0.66%
2020/4/8,5993.47,6100.83,6100.83,5968.24,554.27M,-2.26%
2020/4/9,6102.56,6076.65,6110.29,6035.82,503.89M,1.82%
2020/4/14,6036.62,6052.11,6068.05,5965.6,613.37M,-1.08%
2020/4/15,5804.39,5968.99,6012.38,5793.94,593.25M,-3.85%
2020/4/16,5821.25,5783.79,5883.28,5720.47,447.00M,0.29%
2020/4/17,5842.79,5887.42,5948.07,5836.54,404.00M,0.37%
2020/4/20,5883.34,5790.15,5929.6,5778.76,374.87M,0.69%
2020/4/21,5734.19,5797.96,5833.55,5653.86,591.12M,-2.54%
2020/4/22,5693.72,5634.07,5719.46,5605.41,451.67M,-0.71%
2020/4/23,5765.48,5750.6,5838.81,5743.11,482.82M,1.26%
2020/4/24,5751.8,5764.56,5828.71,5733.46,350.91M,-0.24%
2020/4/27,5801.82,5806.41,5849.49,5781.28,326.54M,0.87%
2020/4/28,5876.88,5833.62,5881.25,5726.5,305.55M,1.29%
2020/4/29,5949.36,5965.91,6003.65,5914.65,363.52M,1.23%
2020/5/4,5543.54,5788.37,5788.37,5524.55,705.20M,-6.82%
2020/5/5,5645.06,5617.7,5669.18,5581.72,331.37M,1.83%
2020/5/6,5760.61,5650.45,5796.47,5650.45,509.32M,2.05%
2020/5/7,5724.27,5735.22,5735.22,5656.4,275.85M,-0.63%
2020/5/8,5800.02,5725.73,5811.24,5719.57,350.72M,1.32%
2020/5/11,5856.31,5873.19,5949.92,5856.31,335.01M,0.97%
2020/5/12,5716.23,5826.47,5826.47,5696.62,342.20M,-2.39%
2020/5/13,5710.04,5680.36,5749.71,5657.06,343.26M,-0.11%
2020/5/14,5583.07,5639.3,5653.58,5583.07,519.42M,-2.22%
2020/5/15,5587.56,5587.32,5638.95,5544.26,427.08M,0.08%
2020/5/18,5878.48,5653.25,5890.4,5643.47,1.15B,5.21%
2020/5/19,6049.04,6059.39,6111.19,5995.11,926.84M,2.90%
2020/5/20,5985.79,6048.47,6048.47,5928.95,320.15M,-1.05%
2020/5/21,5940.73,6001.49,6032.8,5923.91,323.37M,-0.75%
2020/5/22,5636.11,5777.36,5798.65,5569.19,1.02B,-5.13%
2020/5/25,5674.57,5611.52,5686,5562.7,451.26M,0.68%
2020/5/26,5750.84,5744.38,5786.76,5718.51,380.74M,1.34%
2020/5/27,5786.88,5795.3,5825.02,5737.4,385.47M,0.63%
2020/5/28,5786.32,5705.86,5823.87,5652.35,493.28M,-0.01%
2020/5/29,5742.7,5719.01,5797.05,5719.01,951.35M,-0.75%
2020/6/2,5875.9,5827.64,5881.45,5784.7,545.55M,0.51%
2020/6/4,5872.67,5996.57,6001.6,5828.81,583.60M,-3.32%
2020/6/5,5970.09,5860.05,5983.41,5835.07,435.80M,1.66%
2020/6/8,6052.74,6148.59,6148.59,6043.84,453.20M,1.38%
2020/6/9,6119.41,6059.45,6178.2,6059.45,534.76M,1.10%
2020/6/10,6049.96,6161.26,6161.26,6030.28,466.96M,-1.13%
2020/6/11,5886.33,6018.59,6020.74,5873.07,520.52M,-2.70%
2020/6/12,5686.22,5709.88,5716.49,5641.56,511.68M,-3.40%
2020/6/15,5568.88,5596.82,5693.55,5535.75,448.45M,-2.06%
2020/6/16,5765.17,5692.57,5819.26,5689.34,568.54M,3.52%
2020/6/17,5789.18,5756.03,5818.66,5730.05,338.74M,0.42%
2020/6/18,5759.58,5711.28,5796.96,5685.94,385.17M,-0.51%
2020/6/19,5803.78,5730.96,5803.78,5709.89,504.95M,0.77%
2020/6/22,5718.46,5757.52,5798.47,5690.5,408.10M,-1.47%
2020/6/23,5733.24,5697.74,5733.24,5587.24,298.19M,0.26%
2020/6/24,5623.15,5775.08,5775.08,5604.25,301.08M,-1.92%
2020/6/26,5545.13,5572.09,5630.24,5529.49,305.04M,-1.39%
2020/6/29,5498.11,5587.43,5587.43,5472.39,444.97M,-0.85%
2020/6/30,5490.83,5553.17,5562.99,5479.56,403.72M,-0.13%
2020/7/2,5691.04,5564.34,5712.76,5564.34,478.31M,3.65%
2020/7/3,5775.74,5761.45,5823.28,5750.74,450.42M,1.49%
2020/7/6,5999.5,5786.41,6045.76,5786.41,977.75M,3.87%
2020/7/7,5847.94,6053.9,6135.32,5829.09,668.79M,-2.53%
2020/7/8,5857.29,5861.53,5893.36,5771.53,463.60M,0.16%
2020/7/9,5882.49,5907.68,5984.8,5855.45,664.85M,0.43%
2020/7/10,5741.93,5818.52,5833.15,5687.96,466.56M,-2.39%
2020/7/13,5813.79,5791.56,5894.1,5750.21,472.60M,1.25%
2020/7/14,5716.48,5786.1,5799.65,5679.33,374.89M,-1.67%
2020/7/15,5725.01,5818.36,5818.36,5683.6,292.75M,0.15%
2020/7/16,5628.28,5726.83,5740.66,5615.91,430.59M,-1.69%
2020/7/17,5617.39,5692.7,5712.27,5595.23,315.75M,-0.19%
2020/7/20,5642.75,5613.53,5693.27,5567.81,339.94M,0.45%
