"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-4-28","11,869.76","11,919.85","12,249.46","11,729.69","722.65M","-0.42%"
"2024-4-21","11,919.85","11,839.62","12,154.62","11,304.71","791.74M","1.17%"
"2024-4-14","11,781.78","11,641.72","12,054.24","11,579.57","4.11B","0.43%"
"2024-4-7","11,731.18","11,519.92","11,939.32","11,455.06","3.55B","1.79%"
"2024-3-31","11,524.57","11,250.22","11,774.62","11,247.45","3.46B","3.97%"
"2024-3-24","11,084.89","10,914.25","11,249.01","10,777.05","2.64B","1.67%"
"2024-3-17","10,902.75","10,848.69","11,312.45","10,737.56","3.51B","-0.27%"
"2024-3-10","10,932.73","11,086.70","11,198.84","10,658.84","3.85B","-1.19%"
"2024-3-3","11,064.01","10,583.58","11,130.33","10,567.66","3.43B","5.40%"
"2024-2-25","10,496.85","10,678.12","10,843.81","10,407.45","4.65B","-2.11%"
"2024-2-18","10,723.05","9,812.52","10,925.32","9,787.20","6.53B","9.45%"
"2024-2-11","9,797.00","9,628.20","9,862.35","9,599.52","2.33B","0.55%"
"2024-2-4","9,743.73","9,671.32","9,951.38","9,659.47","3.30B","-0.36%"
"2024-1-28","9,778.97","9,892.81","10,083.33","9,599.22","3.65B","-0.65%"
"2024-1-21","9,843.28","8,894.17","9,959.97","8,668.62","4.57B","10.61%"
"2024-1-14","8,898.80","9,298.70","9,368.40","8,806.07","2.91B","-3.87%"
"2024-1-7","9,256.82","9,434.03","9,525.36","9,114.15","2.36B","-1.57%"
"2023-12-31","9,404.57","9,066.83","9,488.80","9,023.26","2.19B","4.07%"
"2023-12-24","9,036.59","8,763.92","9,078.49","8,721.95","2.17B","3.90%"
"2023-12-17","8,697.52","8,502.48","8,766.42","8,460.46","2.84B","1.77%"
"2023-12-10","8,546.14","8,528.37","8,634.86","8,361.02","3.19B","-0.27%"
"2023-12-3","8,569.45","8,884.96","8,954.22","8,443.16","3.25B","-2.82%"
"2023-11-26","8,817.79","8,928.59","8,946.10","8,763.77","2.84B","-0.57%"
"2023-11-19","8,868.66","8,833.22","9,005.11","8,744.93","3.88B","1.43%"
"2023-11-12","8,743.26","8,719.85","8,977.18","8,663.51","5.97B","0.89%"
"2023-11-5","8,666.50","8,986.05","8,986.05","8,551.63","3.66B","-3.28%"
"2023-10-29","8,960.05","8,976.55","9,031.39","8,683.10","4.03B","-1.18%"
"2023-10-22","9,066.78","9,007.42","9,142.19","8,854.69","4.10B","-0.49%"
"2023-10-15","9,111.47","9,296.54","9,405.80","9,084.64","3.72B","-0.80%"
"2023-10-8","9,184.86","9,096.85","9,378.73","9,096.85","2.83B","2.09%"
"2023-10-1","8,996.75","9,360.58","9,360.58","8,797.97","1.95B","-4.76%"
"2023-9-24","9,446.67","9,459.73","9,594.11","9,220.94","3.04B","0.13%"
"2023-9-17","9,434.34","9,352.18","9,511.71","9,252.20","3.01B","1.01%"
"2023-9-10","9,339.62","9,354.00","9,595.04","8,956.11","3.60B","0.03%"
"2023-9-3","9,336.80","9,288.15","9,474.74","9,288.15","2.81B","2.51%"
"2023-8-27","9,107.97","8,981.41","9,111.21","8,904.13","1.92B","3.14%"
"2023-8-20","8,830.65","8,716.66","8,912.74","8,594.37","1.68B","1.10%"
"2023-8-13","8,734.20","8,951.10","8,982.16","8,613.65","1.72B","-3.34%"
"2023-8-6","9,035.77","8,682.49","9,166.75","8,674.94","2.04B","4.42%"
"2023-7-30","8,653.07","8,854.04","9,023.58","8,605.65","1.97B","-1.95%"
"2023-7-23","8,825.34","8,894.69","9,028.80","8,759.08","1.68B","-1.13%"
"2023-7-16","8,925.93","8,924.14","8,996.54","8,803.81","906.62M","-0.83%"
"2023-7-9","9,000.69","8,698.58","9,090.47","8,531.80","1.66B","5.10%"
"2023-7-2","8,563.91","8,632.47","8,932.78","8,508.66","1.41B","-0.76%"
"2023-6-25","8,629.16","8,438.91","8,708.43","8,377.10","1.22B","2.57%"
"2023-6-18","8,412.96","8,905.97","8,966.74","8,360.48","1.45B","-5.37%"
"2023-6-11","8,890.72","9,183.73","9,210.14","8,672.48","2.66B","-4.02%"
"2023-6-4","9,263.41","9,139.56","9,306.39","8,996.34","2.28B","2.29%"
"2023-5-28","9,056.25","9,261.22","9,393.87","8,685.10","3.00B","-2.83%"
"2023-5-21","9,320.32","9,675.25","9,792.44","9,224.28","1.47B","-3.52%"
"2023-5-14","9,660.69","9,542.16","9,907.20","9,490.45","1.68B","0.67%"
"2023-5-7","9,596.58","9,513.57","10,075.11","9,486.71","2.64B","1.82%"
"2023-4-30","9,425.44","9,614.28","9,629.80","9,118.50","1.50B","-1.67%"
"2023-4-23","9,585.57","9,410.57","9,650.25","9,278.89","2.28B","2.41%"
"2023-4-16","9,359.75","9,220.49","9,563.10","9,197.35","2.82B","1.38%"
"2023-4-9","9,232.48","9,001.53","9,273.73","8,904.77","2.20B","3.69%"
"2023-4-2","8,904.15","8,966.43","9,053.15","8,775.04","1.44B","1.73%"
"2023-3-26","8,752.67","8,357.79","8,916.12","8,191.91","3.26B","3.49%"
"2023-3-19","8,457.90","8,563.27","8,697.23","8,318.16","2.31B","-2.09%"
"2023-3-12","8,638.57","8,508.08","8,814.67","8,299.22","3.47B","2.76%"
