"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-4-28","3,111.42","2,999.50","3,128.05","2,999.50","2.89B","3.73%"
"2024-4-21","2,999.50","2,851.45","3,012.27","2,843.29","2.61B","6.66%"
"2024-4-14","2,812.29","2,796.52","2,847.27","2,762.46","9.46B","-0.65%"
"2024-4-7","2,830.76","2,857.68","2,918.32","2,830.76","7.56B","-1.08%"
"2024-3-31","2,861.55","2,854.38","2,903.93","2,835.83","4.60B","1.38%"
"2024-3-24","2,822.66","2,865.53","2,884.32","2,794.00","6.58B","-1.57%"
"2024-3-17","2,867.59","2,895.79","2,916.20","2,842.83","7.85B","-0.77%"
"2024-3-10","2,889.88","2,903.66","2,988.95","2,871.59","8.82B","-0.34%"
"2024-3-3","2,899.61","2,942.47","2,942.95","2,861.78","7.22B","-1.45%"
"2024-2-25","2,942.30","2,980.50","2,985.93","2,917.02","7.72B","-1.37%"
"2024-2-18","2,983.26","2,943.98","3,024.29","2,913.90","9.09B","1.70%"
"2024-2-11","2,933.41","2,823.03","2,942.78","2,800.92","2.20B","2.57%"
"2024-2-4","2,859.99","2,792.03","2,946.56","2,788.85","6.72B","1.66%"
"2024-1-28","2,813.28","2,896.42","2,931.43","2,802.96","7.70B","-2.55%"
"2024-1-21","2,886.80","2,734.49","2,913.84","2,662.27","10.09B","5.68%"
"2024-1-14","2,731.64","2,869.53","2,885.42","2,693.73","7.43B","-4.65%"
"2024-1-7","2,864.71","2,932.80","2,940.48","2,847.88","5.60B","-1.75%"
"2023-12-31","2,915.73","2,991.89","2,991.89","2,895.77","4.05B","-2.28%"
"2023-12-24","2,983.64","2,914.96","2,986.14","2,891.86","3.28B","3.11%"
"2023-12-17","2,893.58","2,893.93","2,925.41","2,855.13","4.18B","-0.81%"
"2023-12-10","2,917.25","2,827.52","2,932.58","2,785.34","7.90B","2.90%"
"2023-12-3","2,835.15","2,916.84","2,929.41","2,804.95","6.11B","-2.29%"
"2023-11-26","2,901.73","3,012.98","3,012.98","2,895.69","6.22B","-3.21%"
"2023-11-19","2,997.95","3,016.26","3,066.45","2,983.14","4.52B","0.40%"
"2023-11-12","2,985.93","2,911.77","3,059.60","2,896.47","5.56B","2.88%"
"2023-11-5","2,902.46","3,022.88","3,040.09","2,889.19","5.39B","-2.75%"
"2023-10-29","2,984.42","2,928.55","2,998.42","2,873.56","5.82B","0.88%"
"2023-10-22","2,958.25","2,932.19","3,000.06","2,912.38","4.88B","-0.30%"
